TERYT,Gmina,Rok,Frekwencja,MalTys,BudzM,BezPro,WspFem,WspObc,AptOs,PowUzM,BibM,WspSko,PodTys,OsbKM,WspX,WspY
101011,gm. Wolbórz,3,53.72100515,0,0,0,0,0,0,0,0,0,0,0,19.84410976,51.48743689
101101,gm. Dalików,3,45.56720686,5.2,3992.28,7.3,97,62.7,3854,84.7,1285,111.86,66,34,19.10126348,51.88751751
101102,gm. Pęczniew,3,47.16216216,6,3328.38,8.8,101,62.2,0,89.4,1175,93.45,58,28,18.74085371,51.81009856
101103,gm. Poddębice,3,46.46401985,3.2,3450.13,7.5,105,59.8,2265,76.9,5286,84.65,95,71,18.90707183,51.88902235
101104,gm. Uniejów,3,48.31349206,4.2,6011.73,7.5,103,65.1,2375,77.4,1782,110.04,86,55,18.79070864,52.00492832
101105,gm. Wartkowice,3,37.2533698,6.1,3604.29,7.2,101,58.4,6295,85.5,3148,72.41,55,45,18.99854862,51.97581082
101106,gm. Zadzim,3,44.10399257,6.2,3013.46,7.5,98,65.5,5022,86.4,1674,97.76,63,35,18.89545723,51.78548896
101201,m. Radomsko,3,49.49350277,4.7,2956.94,7.5,111,63.1,2477,67.8,9414,95.25,97,915,19.43968528,51.0746565
101202,gm. Dobryszyce,3,46.25550661,4.8,3201.07,5.6,98,59.6,4395,91.1,4395,74.48,81,86,19.41332643,51.14527919
101203,gm. Gidle,3,40.77392299,5.3,3148.03,6.6,98,59.9,6231,74.1,2077,83.09,72,54,19.49584631,50.95347993
101204,gm. Gomunice,3,50.05185646,4,2904.68,6.2,103,61.3,5922,76.1,2961,88.55,56,95,19.52025296,51.15551646
101205,gm. Kamieńsk,3,52.46838025,4.9,3885.34,5.8,100,58.9,3047,81.1,3047,85.27,55,63,19.4710232,51.22424558
101206,gm. Kobiele Wielkie,3,39.44954128,4.9,2867.82,5.4,101,60.6,4478,90.1,4478,88.11,74,44,19.61902091,51.02326803
101207,gm. Kodrąb,3,40.1925078,4.5,3494.63,6,101,65.9,4608,85.2,4608,93.27,62,44,19.61464567,51.09985564
101208,gm. Lgota Wielka,3,46.1211778,5.3,3591.41,5.4,102,59.5,4334,97.4,1445,88.29,70,69,19.31658096,51.14546414
101209,gm. Ładzice,3,39.41866395,3.1,2896.03,5.6,95,62.3,0,88.8,2421,90.79,69,58,19.30701943,51.07493472
101210,gm. Masłowice,3,39.94918125,7.2,3773.82,8.1,103,64.4,0,81.3,4228,89.6,47,36,19.76701053,51.1082847
101211,gm. Przedbórz,3,43.04005253,4.9,3636.24,10.7,101,58.4,1216,75.9,3649,89.38,79,38,19.96087485,51.07848094
101212,gm. Radomsko,3,44.54264251,5.7,3009.03,6.1,101,58.5,0,89.2,2811,83.69,79,66,19.44805553,51.04388809
101213,gm. Wielgomłyny,3,37.80954812,5.3,3139.69,5.4,94,63.3,4720,86.9,2360,94.75,51,38,19.77968915,51.01199471
101214,gm. Żytno,3,39.25150368,5.5,3082.37,7.6,97,67.4,5287,72.8,1322,91.84,41,27,19.69091465,50.92189247
101301,m. Rawa Mazowiecka,3,52.62900635,4.9,3309.96,5.5,109,60.1,2515,66.2,8804,106.13,125,1233,20.25238521,51.76121608
101302,gm. Biała Rawska,3,38.61194671,5.9,3129.54,4.5,101,61.2,5737,81.4,11473,89.86,62,55,20.4750846,51.81762487
101303,gm. Cielądz,3,41.54501217,4.4,3281.11,4.1,93,59.6,0,84.9,2025,87.96,47,44,20.34816859,51.6949525
101304,gm. Rawa Mazowiecka,3,43.37140379,6.5,3127.95,4.5,101,59.9,0,86.7,1242,65.14,70,53,20.23422618,51.78331622
101305,gm. Regnów,3,43.42017368,9.8,3053.07,3.7,94,63.7,1837,87.9,1837,97.76,52,40,20.39972419,51.74644188
101306,gm. Sadkowice,3,34.61877479,5.2,3604.41,3.2,97,66.2,0,90.2,2788,91.84,36,46,20.55231965,51.71052694
101401,m. Sieradz,3,53.80936399,4.8,3076.37,7.8,112,58.2,2145,66.5,3064,99.64,102,837,18.74113367,51.59767776
101402,gm. Błaszki,3,39.96171134,5.3,2857.79,7.2,101,60.3,3698,90.1,4930,92.05,55,73,18.44817078,51.63767931
101403,gm. Brąszewice,3,44.62061155,4.6,3844.99,6,98,61.7,4524,97.9,1508,102,62,42,18.45612783,51.50376228
101404,gm. Brzeźnio,3,45.12435847,5,3660.21,6.4,99,63.8,3179,94.7,2119,77.56,68,49,18.62210393,51.49627379
101405,gm. Burzenin,3,41.57626743,4.1,3083.38,10.4,98,61.1,2784,78.1,1856,92.86,68,46,18.77653808,51.44721609
101406,gm. Goszczanów,3,35.74782025,5,3808.66,6.7,99,65.6,2788,101.1,1394,89.3,50,46,18.50637342,51.7910693
101407,gm. Klonowa,3,41.40127389,2.7,3141.79,5.9,102,64.1,2932,94.3,1466,85.84,47,31,18.42104752,51.42814111
101408,gm. Sieradz,3,49.15503306,5,3277.38,6.5,98,59,0,97.5,2080,69.6,70,57,18.7562236,51.58364043
101409,gm. Warta,3,44.02828206,4.7,2904.63,8.2,105,63.6,3224,83.2,1612,94.83,62,51,18.65887429,51.72229991
101410,gm. Wróblew,3,44.01855961,6,3466.06,6.4,102,62.5,0,97.9,6110,87.8,52,54,18.58749116,51.59740554
101411,gm. Złoczew,3,43.87372014,5.6,3618.25,8.5,104,60,2409,80.9,1445,95.18,67,62,18.61324511,51.40956192
101501,gm. Bolimów,3,44.25465839,5.2,4436.25,3.1,105,64.6,4045,85.4,4045,95.64,63,36,20.17708606,52.08074047
101502,gm. Głuchów,3,58.13356164,5.8,3225.49,2.7,104,69.3,2921,103.1,1168,95.09,59,53,20.08647699,51.79790053
101503,gm. Godzianów,3,50.96153846,3.1,3678.02,2.8,96,58.8,0,97.9,2595,107.96,67,59,20.04686329,51.89170076
101504,gm. Kowiesy,3,42.11601307,4.7,3500.54,5.1,102,62.5,2937,83.4,1469,97.04,62,34,20.4170359,51.8965368
101505,gm. Lipce Reymontowskie,3,47.48687172,2.7,3158.53,4.2,107,66.5,0,95.2,3293,89.88,60,77,19.94222206,51.90395755
101506,gm. Maków,3,48.77395426,3.5,3500.7,5.8,102,62.7,5996,93.3,1999,98.85,53,74,20.01825276,51.95452795
101507,gm. Nowy Kawęczyn,3,46.67630058,3.6,2969.37,4.6,98,60,0,77.5,3375,89.3,53,32,20.24948399,51.88606587
101508,gm. Skierniewice,3,45.64208355,4.9,2924.08,5.4,101,61.9,0,90.4,1478,71.41,80,56,20.15809398,51.95090791
101509,gm. Słupia,3,48.24848202,6.7,2871.73,3.8,100,68.1,0,90.3,2702,75.96,66,66,19.96714775,51.86018393
101601,m. Tomaszów Mazowiecki,3,50.36566289,4.2,2939.81,8,113,67,2206,59.3,15990,96.91,85,1549,20.02027059,51.52369757
101602,gm. Będków,3,52.29555237,3,3208.18,4.7,99,61,1662,99.4,3323,98,60,58,19.77430543,51.58359414
101603,gm. Budziszewice,3,48.69516935,7.2,3673.74,6.9,104,61.4,2201,82,2201,117.61,83,73,19.97477335,51.68171507
101604,gm. Czerniewice,3,42.39389604,4.7,3389.7,7.2,100,58.5,0,81.5,5138,90.38,60,40,20.18898806,51.65702388
101605,gm. Inowłódz,3,50.27915633,3.9,4649.24,7.5,107,63.7,1931,79.6,3861,82.93,75,39,20.19853559,51.5336299
101606,gm. Lubochnia,3,49.50009089,4.9,3606.42,7,102,63.5,7211,78.5,0,84.3,71,55,20.05756822,51.6036006
101607,gm. Rokiciny,3,50,4.4,3408.72,5.4,106,64.1,3084,93.4,2056,76.22,73,68,19.79939431,51.6568396
101608,gm. Rzeczyca,3,43.84634824,5.5,4073.91,6.6,96,61.4,4717,84.2,4717,92.12,50,43,20.3078754,51.60878919
101609,gm. Tomaszów Mazowiecki,3,49.00608045,5,3227.11,6.7,103,56.7,10845,99.3,1808,73.07,86,72,20.01192249,51.49724549
101610,gm. Ujazd,3,46.94261524,4.7,3848.46,7.3,108,62.7,2625,75.5,1969,87.63,77,81,19.90977251,51.60848725
101611,gm. Żelechlinek,3,48.4265087,5.6,5023.76,7.9,104,72.8,3374,72.8,3374,88.38,45,37,20.05137794,51.71533373
101701,gm. Biała,3,42.30509998,4.9,2891.32,5.2,100,62.6,5521,106.6,1380,93.38,62,75,18.43000154,51.2653683
101702,gm. Czarnożyły,3,45.68306011,4.4,2770.94,6.2,101,64,4544,95.7,2272,90.57,64,65,18.55307203,51.2835859
101703,gm. Konopnica,3,47.03310431,4.4,3771.15,7.3,103,66.3,3833,89.8,1917,87.36,65,46,18.81598742,51.35770529
101704,gm. Mokrsko,3,46.30180902,2.4,3562.84,5.8,99,64.3,0,94.9,1359,96.14,54,70,18.48240753,51.15955498
101705,gm. Osjaków,3,47.39854318,5.2,3571.96,7.1,101,63.3,4770,92,2385,91.36,84,47,18.77674458,51.27533502
