TERYT,Rok,Frekwencja,MalTys,BudzM,BezPro,WspFem,WspObc,AptOs,PowUzM,BibM,WspSko,PodTys,OsbKM,WspX,WspY
180305,0,27.92207792,6,1499,12.2,96,70.4,5446,91.2,5446,97.31,30,91,21.29682532,49.87729867
180306,0,43.65042537,5.3,1589,10.7,100,69.8,8640,84.7,1920,93.89,45,105,21.2722765,49.97347992
180307,0,43.33232537,5.7,1692,12.2,101,66.9,6658,92.8,2219,87.68,41,121,21.38766824,50.11534227
180601,0,40.7960199,5.4,1836,14.9,99,72,0,81.6,1966,96.77,38,59,21.6989126,50.31815386
180602,0,50.49211557,4.9,1540,12.6,106,60.2,4893,81.5,2446,97.05,65,143,21.80178024,50.21676892
180603,0,43.71517869,6.9,2427,16.1,98,65.7,4818,86.3,3212,95.14,40,62,21.77435329,50.39225103
180604,0,40.31848604,6.7,1850,13.4,101,69,5789,85.4,2895,93.28,31,61,21.6348737,50.24207406
180605,0,43.62653746,6.3,1644,11,94,73,7202,81.9,1801,94.29,33,74,21.99217,50.27620429
180606,0,39.18781726,5.8,1687,13.1,96,68.3,6481,92,1620,96.14,30,53,21.89580813,50.32530858
180801,0,46.83608213,6.9,1772,9.2,109,49.9,2042,72.9,3574,107.29,100,694,22.41914535,50.26562002
180802,0,49.93690852,6.4,1466,10.4,100,68.2,4089,83.9,2726,83.65,34,104,22.44467307,50.16448573
180803,0,43.76001832,4.5,1915,11.9,97,71.1,5679,92.7,1420,90.35,42,40,22.53573512,50.31545801
180804,0,42.69352836,6.3,1612,13.7,101,69.8,0,87.3,2200,96.3,37,100,22.41340853,50.23889112
180805,0,45.46064674,5.1,1793,13.5,102,64.1,4264,76.8,3046,95.17,39,148,22.29716143,50.32152627
181001,0,49.53758431,5.9,1832,10.9,112,60.1,1643,80.2,4519,106.03,112,930,22.22486383,50.07359327
181002,0,40.59800664,5.5,1826,12.4,103,70.1,8065,85.3,1344,89.47,47,144,22.34789037,50.1112201
181003,0,52.34666004,3.5,1822,14.7,107,66.9,5379,85.4,1793,101.61,59,138,22.17062563,50.12156509
181004,0,46.00920703,6,1481,11.9,104,67.1,6756,89,2252,97.12,53,190,22.24988731,50.03959083
181005,0,38.05006056,5.4,1758,12.2,104,73.1,6665,83.8,2222,99.65,36,97,22.28665658,49.9880134
181006,0,53.07377049,4.7,1665,17.8,105,70.9,7209,79.1,1802,90.5,49,109,22.229034,50.18256532
181007,0,45.05622334,5,2028,16.9,101,63.5,6681,73.2,3341,108.81,40,118,22.31017066,50.16000862
181101,0,44.5671858,5.9,1605,10.3,106,53.7,3223,62.5,8749,100.1,93,1293,21.46332675,50.28777835
181102,0,42.71476032,5.5,1571,11,99,72.5,5599,89.8,1866,90.45,43,101,21.32613291,50.38413774
181103,0,34.37625351,5.4,1893,11.3,98,70,6736,89.4,1684,98.42,42,84,21.29481491,50.32722206
181104,0,45.45869466,8.7,1723,12.1,101,73.1,2863,85.5,1432,80.45,43,85,21.39766411,50.41023399
181105,0,41.18742469,5.9,1655,12,102,68,12084,80.7,1726,98.43,55,99,21.45610586,50.29429438
181106,0,44.66111772,8.7,1734,10.2,99,63.1,5372,89.6,895,95.04,39,76,21.49536033,50.43822904
181107,0,38.29708809,5.5,1683,16.2,101,67.4,5460,85,1820,94.08,40,81,21.48984071,50.20452425
181108,0,36.37002107,6.6,1805,12.5,101,71.2,4549,89.1,2729,94.58,42,85,21.26705973,50.19265326
181109,0,48.50088183,6.4,1817,13.3,100,69.4,7514,79.7,1503,88.42,41,84,21.50981357,50.37011054
181110,0,37.48091603,4.3,1680,9.6,97,73.6,7281,89.5,1040,99.28,37,84,21.25206959,50.26812075
181201,0,31.76963351,5.4,1961,15.8,100,73.5,6377,87.5,1063,98.63,32,38,22.46183963,50.5002561
181202,0,30.97094259,4.8,1482,12.8,100,62.7,5334,91.8,2667,94.94,40,59,22.32945408,50.57891442
181203,0,47.76555757,4.5,1691,13.9,97,70.7,9858,88.5,1972,98.28,38,80,22.11436092,50.37021116
181204,0,33.87864366,3.2,1879,11.1,101,71.3,4247,92,2124,80.53,46,68,22.37449993,50.38736034
181205,0,39.20939559,5,1607,12.2,102,58.2,3216,82.5,4503,91.15,66,158,22.14118,50.48111042
181206,0,35.41692869,4.7,1481,15.1,105,62.3,5061,82.6,3374,97.92,62,129,22.23685293,50.44076351
181207,0,36.72332943,4.1,1647,11.8,100,62.9,8613,92.6,1723,94.99,41,72,22.3131566,50.49965583
181501,0,44.82071713,5.3,1613,12.9,101,67.9,7361,87.7,7361,94.7,40,112,21.75050786,50.01590437
181502,0,40.7639569,6.1,2075,20,102,68,6815,87.5,1704,96.58,41,71,21.61058246,50.13986257
181503,0,49.16755225,5.9,1658,14.7,101,59.7,6499,78.2,3714,98.16,65,187,21.56891812,50.02783252
181504,0,47.71632523,6,1517,14.4,104,65.1,3233,77.3,2829,98.31,54,147,21.71835719,50.0855441
181505,0,48.33836858,6.3,1697,15.9,101,76,8413,83.7,2103,93.63,41,90,21.59297172,49.94688088
181601,0,44.6853294,3.4,1824,13.6,104,60.2,3032,74.2,3032,100.43,57,247,22.23307129,49.81204744
181602,0,45.20845921,5.4,1707,10.2,103,71.5,5320,82.1,1773,93.96,53,94,22.08122369,49.87693587
181603,0,47.44226471,5.1,1694,9.7,105,62.8,10453,91.3,1900,97,63,217,21.87389631,49.99312324
181604,0,49.38090241,4.1,1620,11.7,100,73.1,6389,87.5,2130,93.9,48,121,22.15710158,49.97491129
181605,0,32.16279489,5.7,1597,12.1,99,78.2,0,81.5,813,95.34,34,62,22.22939064,49.82142905
181606,0,47.83325836,5.2,1688,11.1,103,64.7,9043,91.3,3014,85.02,65,124,21.96595505,50.17017574
181607,0,51.83369288,7.1,1731,11.8,103,68.1,6796,84.6,2265,103.29,43,133,22.19152146,49.91082284
181608,0,45.5743509,5.5,1823,10.8,99,72.7,3435,88.9,3435,90.56,41,94,22.11968018,50.32064084
181609,0,49.50853595,4.2,1713,11.1,105,63.1,0,100.5,2844,102.87,88,265,22.1108007,50.05152569
181610,0,42.12396368,5.1,1379,12.3,104,65.6,6415,81.3,2138,89.43,42,117,21.9630249,49.91315599
181611,0,52.45181752,4.7,1671,12.4,103,67.9,4120,90.5,2747,101.32,47,123,22.13091276,50.2325966
181612,0,46.00902553,5.4,1566,10.8,103,63.5,18773,89.5,2682,92.54,60,146,21.86174449,50.09245264
181613,0,50.26086957,4.8,1616,11,106,63.4,6240,95.5,3120,98.28,61,207,22.06470318,50.11393101
181614,0,44.93923685,4.1,1541,10.1,104,64.6,8050,96.4,3220,90.26,66,195,22.05461503,49.95197336
181801,0,41.76635787,5.8,1782,9,107,47.9,2754,57.4,9442,101.15,98,802,22.03027771,50.5620734
181802,0,35.52431611,5.8,1902,11.4,96,70.1,7192,85,1438,91.01,34,40,21.97534543,50.44786949
181803,0,40.79608939,5.1,1718,7.6,100,62.5,9461,99.1,3154,85.51,42,64,22.1600485,50.60436031
181804,0,34.74283742,4.2,1637,10.9,105,71,3741,92,1496,96.65,47,56,21.94707156,50.71491934
181805,0,33.77996129,6.1,1852,10.9,105,66.6,2851,78.6,8553,100.43,53,42,22.08504346,50.73632564
181806,0,38.9287888,4.6,1578,12.2,101,67.5,5313,97,1771,89.36,54,122,21.9403964,50.63605797
181901,0,43.64377974,4.4,1615,18.4,101,69.8,5786,86.5,1653,98.28,47,136,21.80589241,49.93928633
181902,0,41.56951235,5.8,1615,18.7,99,70.2,3544,87.5,2127,98.45,48,117,21.5703759,49.84466343
181903,0,40.11397423,6,1568,18.8,105,71,10603,88.2,2651,96.35,40,102,21.91738097,49.84534058
181904,0,38.21007833,5.7,1515,16.6,103,60.3,4136,83.2,2954,99.68,53,147,21.7844054,49.85617046
181905,0,39.39675174,4.4,1574,21.7,102,71.3,4245,82.4,1415,98.86,36,102,21.65788751,49.88305496
182001,0,44.62978907,5.3,1727,12.9,101,66.4,5996,81.5,2998,94.69,61,98,21.59064456,50.45925212
182002,0,39.01349465,7.5,1606,10.8,104,51.3,4547,78.6,3410,100.48,63,197,21.82905227,50.6582928
182003,0,33.39234645,4.3,1769,14.1,102,70.8,4848,93.9,1616,95.89,39,52,21.85600791,50.54905498
182004,0,40.37473164,4.5,1558,11.3,105,56.6,4616,69,4616,93.75,64,130,21.73680927,50.47234491
186301,0,49.90672405,5.5,2695,8.1,112,49.1,1865,61.7,7927,103.99,116,2952,21.99465485,50.022128
186401,0,41.02115355,5.6,2113,11.1,109,50.4,3341,61.2,6264,95.49,105,584,21.70707627,50.58460125
200101,0,38.67904532,4.7,1785,14.3,112,59.6,2997,68.4,9990,100.77,97,370,23.01024263,53.84767764
200102,0,30.69838833,7.4,1804,11.4,95,77.9,0,102.2,1115,99.51,40,25,22.92609796,53.831152
200103,0,28.66768094,6.5,1658,11.9,99,74.3,5789,91.5,2895,96.37,29,31,22.81319568,53.74797326
200104,0,29.65265866,5.5,2047,18.3,103,75.6,5698,78,2849,94.15,43,31,23.44753305,53.75296262
200105,0,41.72694394,6.1,2152,13.1,94,69.4,0,93.7,699,94.87,76,14,23.00607241,53.95225577
200106,0,33.06142035,4.9,2003,18.3,91,73,0,76.3,1287,96.83,111,7,23.30077826,53.8737711
200107,0,33.98455248,4.6,2325,12.8,94,80.3,5482,84.9,1371,97.83,46,15,23.10627107,53.71990859
200201,0,37.38213052,5,1452,6.9,100,56.7,12880,81.4,4293,77.42,61,79,22.94726372,53.12824163
200202,0,34.48313743,5.2,1519,10.8,107,59.5,5848,63.9,5848,94.98,54,57,23.24514186,53.31455268
200203,0,36.15837696,6.3,1740,8.3,99,63.7,7893,92.2,1579,86.61,58,49,23.0148386,53.23257643
200204,0,27.71850636,6.5,1805,14.3,109,71,5773,65.1,2887,96.82,47,13,23.6567544,53.12082683
200205,0,42.83352279,4.3,1711,8.3,100,61.8,6646,78.9,3323,80.31,77,77,23.15240351,52.99745379
200206,0,46.46278755,5,1426,9.9,106,57.4,3864,75.1,5796,97.24,60,182,22.86686359,53.00520652
200207,0,31.4753057,5,2464,12.3,103,79.2,3646,64.5,810,95.08,54,18,23.68938448,53.00585576
200208,0,45.38745387,5.5,1606,7.7,94,78.8,0,96.2,3771,94,32,33,22.82399823,52.90624743
200209,0,40.97756241,4.7,1553,9.1,104,60.1,4224,95.8,3168,55.96,82,67,23.3473781,53.19114287
200210,0,47.95792079,7.8,2357,5.5,100,76.5,0,72,2039,85.62,50,27,23.00173302,52.94125929
200211,0,44.4027986,4.5,1945,7.4,101,72,5330,89,1066,95.14,54,38,23.0129084,53.03093289
200212,0,38.05275407,6.4,1803,6,102,72.8,6490,96.3,6490,100.42,38,31,22.75827772,53.18965034
200213,0,40.00835247,4.3,1442,9.2,105,57.2,2536,82.1,6340,83.69,74,100,23.18879353,53.22576823
200214,0,34.4064827,4.3,1684,9,99,67.9,5966,85,1491,88.29,56,34,23.33469839,53.01257483
200215,0,38.26086957,6.4,2038,4.7,92,74,0,101.6,3021,87.8,33,27,22.57060701,53.16697026
200301,0,34.44321125,5.6,1601,9.2,108,54.5,2689,67.4,26893,101.71,85,1000,23.19088144,52.76521012
200302,0,48.43646041,7,2043,6.3,104,70.8,1900,81.7,3800,101.39,93,117,22.83910648,52.76288959
200303,0,28.28329484,4.8,1393,7.8,102,116.6,7446,71.7,2482,90.13,35,17,23.18507188,52.79278877
200304,0,37.1124031,4.2,1867,4.3,96,90.6,5029,82,5029,90.63,43,22,23.05149855,52.63573228
200305,0,49.76158688,6.2,1730,3,96,90.4,0,88.3,6515,77.05,35,29,22.84883132,52.74089512
200306,0,28.63695937,4.3,1445,10.3,109,116.5,0,69.9,3363,97.22,45,21,23.28963683,52.67576229
200307,0,43.09425015,5.6,1898,7.7,98,80.8,2224,75.7,2224,105.91,45,32,22.71231991,52.72321594
200308,0,47.83576552,5.1,1835,5.9,98,86.5,5003,80.1,2502,96.62,34,24,22.97646235,52.84832312
200401,0,32.39660057,5.3,1630,17.1,107,51.7,2840,63.4,22718,103.93,86,1200,22.45505823,53.64010829
200402,0,28.47207129,5.2,1962,13,96,76.6,0,87.9,6146,79.56,34,20,22.51704606,53.57703786
200403,0,38.253931,5.2,1756,10.8,100,73.6,5134,85.7,5134,91.96,28,26,22.44387473,53.42450309
200404,0,29.41577631,5.7,2012,14.8,98,69,0,86.4,1389,88.79,46,27,22.65198755,53.6783758
200405,0,34.16634127,4.9,1847,16.5,98,67.2,3350,76.5,3350,97.79,51,58,22.28397917,53.56665152
200406,0,33.74681934,6.1,1911,13.9,96,74.5,0,94.2,1335,100,35,34,22.34383006,53.49731716
200501,0,30.83449739,6.2,1667,9.3,111,55.7,3693,63.7,11080,102.99,76,1041,23.56893448,52.73548618
200502,0,30.99526066,4.6,1768,9.9,88,75.7,0,75.5,2707,104.32,96,13,23.8075685,52.71053201
200503,0,29.76684765,4.7,1769,9.7,103,72.6,3672,67.6,3672,92.24,44,38,23.34716072,52.50437287
200504,0,32.17948718,5,1620,4.1,102,105.2,0,77.5,1274,111.32,36,19,23.42722766,52.80120534
200505,0,31.51071026,5.2,1803,9.2,98,117.8,0,74.7,1895,98.8,99,13,23.47693208,52.63787997
200506,0,32.94573643,4.3,1869,7.1,104,85.7,0,77.7,2165,85.04,62,15,23.6013727,52.71771401
200507,0,34.05405405,5,1569,9.3,105,94.2,2905,68.6,1453,95.6,62,20,23.33180428,52.58272039
200508,0,24.87603306,4.4,1963,7.6,103,87.6,0,69.6,1396,101.84,52,17,23.50342107,52.90879915
200509,0,24.21227197,6.3,2312,11.1,97,77.5,4033,71,807,104.74,56,12,23.77261574,52.84880332
200601,0,34.78109395,6,1840,14.7,105,54.2,2693,67.7,10772,106.59,93,430,21.93360863,53.40168847
200602,0,33.72093023,8.5,2144,10.2,97,74.3,3643,94,3643,105.08,33,28,22.16770745,53.47461967
200603,0,38.08044957,5.4,1529,13.2,99,81.6,0,90.1,2206,87.51,37,31,21.94387428,53.42879169
200604,0,31.78824721,6.6,1778,9.9,101,74.2,0,93.4,1259,99.77,34,36,21.9995178,53.30462318
200605,0,32.57590223,5,1917,9.7,98,67.9,6602,85.6,3301,95.31,47,40,22.15557223,53.36519863
200606,0,38.41982959,7.1,2217,16.8,88,83.3,0,85.2,1645,102.33,42,25,21.71900441,53.40772642
200701,0,38.99605436,6.5,1692,8.3,96,71.6,2786,91.1,5572,89.63,40,35,22.34814015,53.297782
200702,0,35.39363261,6.2,1550,11.4,99,71.8,0,106,1403,85.44,56,47,22.10258501,53.12782661
200703,0,27.7027027,6.8,1944,12.6,97,75.8,0,85.3,2168,101.42,35,38,21.80714184,53.14269805
200704,0,37.03109971,7,1669,12.5,101,71.7,3976,77.8,1988,98.31,55,39,21.8939973,53.216112
200705,0,29.72700969,4.9,1732,9.6,97,72.1,10640,95.3,2660,90.63,54,49,22.17069853,53.21377915
200706,0,37.94642857,6.1,2063,4.3,102,68.7,0,107.6,2183,105.1,30,31,22.31047484,53.37213446
200707,0,42.14986619,5.7,1509,8.4,97,76.5,5679,98.9,947,97.95,45,35,21.96552332,53.0580651
200708,0,37.02857143,5.6,1752,9.6,99,79.7,4328,93.1,2164,102.54,39,33,22.35266061,53.19693131
200709,0,31.02743724,5.4,1849,13.6,95,79.7,0,86.9,1450,97.13,41,23,21.75952798,53.26026902
200801,0,35.24207422,5.7,2159,9.7,103,79.5,0,82.4,5217,92.84,43,14,22.75467741,53.53235998
200802,0,36.70578713,6.5,1964,5.6,94,74,0,85.3,2992,91.16,42,31,23.03312405,53.39215006
200803,0,32.190561,5.5,2091,4.2,93,80.3,0,98,1820,94.49,26,31,22.95871791,53.5027329
200804,0,34.45292621,6.2,1716,9.6,101,63.7,4954,82.3,4954,103.41,59,39,22.95200968,53.333399
200805,0,33.10559006,6.2,2010,6.5,99,81.9,4130,80.3,1377,84.71,45,37,22.82695982,53.27193255
